% Model,zeeman_20260415_longitudual.mph
% Version,COMSOL 6.3.0.290
% Date,"Apr 15 2026, 17:27"
% Dimension,1
% Nodes,199
% Expressions,1
% Description,线结果图
% 弧长 (mm),磁通密度，x 分量
0,0.4191713409249301
1.666666666666666,1.4482683649107404
3.333333333333334,2.4773653888965543
5,3.515619299232476
6.666666666666667,4.245683972784821
8.333333333333334,4.96659175998708
10,5.708658986164217
11.666666666666666,6.015025162221757
13.333333333333332,6.300231899304418
14.999999999999998,6.558990889457908
16.666666666666668,6.599559601150293
18.333333333333336,6.666576059771803
20,6.657092251887566
21.666666666666664,6.406678720798958
23.333333333333332,6.23276545621612
25,6.05708511902816
26.666666666666664,5.824762461013635
28.333333333333332,5.5942068756042165
29.999999999999996,5.362034864353634
31.666666666666668,5.144749695111885
33.33333333333333,4.929080951711303
35,4.733396867177072
36.666666666666664,4.617736183427284
38.33333333333333,4.482090840811087
40,4.371709473612368
41.66666666666666,4.540806322203342
43.333333333333336,4.684639195376875
45,4.831209198803855
46.666666666666664,5.066656175641221
48.333333333333336,5.299366022225176
50,5.576949827769164
51.666666666666664,5.685484866848306
53.333333333333336,5.749145946967449
55,5.8123661348253135
56.666666666666664,5.835271998329542
58.33333333333333,5.858618754095078
59.99999999999999,5.851390890134956
61.66666666666666,6.260681530279067
63.33333333333333,6.700546790148849
65,7.152566433281182
66.66666666666667,8.164379524129878
68.33333333333334,9.164038231715985
70,10.293786230178869
71.66666666666666,11.272832068096813
73.33333333333334,12.121788615137959
75,13.008736367529705
76.66666666666667,13.232224085135538
78.33333333333333,13.417720597390765
80,13.414866756725438
81.66666666666667,11.90567806133981
83.33333333333333,10.58483971887477
85,9.23215912041584
86.66666666666666,7.686758908338083
88.33333333333333,6.173200952254231
90,4.564642547717293
91.66666666666667,3.854780104288056
93.33333333333334,3.239918109311943
95,2.6127506820707658
96.66666666666667,2.1586513954469226
98.33333333333333,1.7168575410881453
100,1.240700823337391
101.66666666666666,0.5005765560103653
103.33333333333333,-0.2051848479246582
105,-0.8627932353233179
106.6666666666667,-0.9928492950721304
108.33333333333333,-1.1710583713572391
110,-1.4678189191116289
111.66666666666669,1.1452935617811828
113.33333333333333,3.876957514143305
115.00000000000001,6.551729353169429
116.66666666666666,10.348782900565695
118.33333333333334,14.2027285612979
119.99999999999999,18.184812236246863
121.66666666666664,19.719503698013263
123.33333333333331,21.126057145562932
125,22.772441959546462
126.66666666666666,20.47517406355237
128.33333333333331,17.93807480112445
130,15.098690478661506
131.66666666666663,11.913120092704705
133.33333333333331,9.029834766782944
135,5.762459155203553
136.66666666666663,5.353024871670089
138.33333333333331,5.327680873794302
140,5.313501734758988
141.66666666666666,7.058070153896919
143.33333333333334,8.791473714194428
145,10.539317638406313
146.66666666666666,10.400583668561836
148.33333333333334,10.24740933480292
150,9.877023061806142
151.66666666666666,7.3260642908686275
153.33333333333331,4.992317459168714
155,2.717986067680268
156.66666666666663,2.5269195183900974
158.33333333333331,2.276437528888536
160,1.8949811262186644
161.66666666666669,6.567628985189463
163.33333333333331,11.371251257328652
165,16.48262780402063
166.66666666666669,20.64623702399686
168.33333333333334,24.502091969420377
170,30.11661941563961
171.66666666666669,28.087199403736246
173.33333333333334,24.29910689103722
175,20.702280480454142
176.66666666666669,16.14551208850606
178.33333333333334,11.397477594442055
180,6.425940317541056
181.66666666666669,5.968049264298967
183.33333333333334,5.733660993893941
185.00000000000003,5.66946758709795
186.66666666666666,10.121826020826962
188.33333333333334,14.403989590946694
190,20.50090516976649
191.66666666666663,22.454349571301478
193.33333333333331,22.593041964136617
195,22.868290442331904
196.66666666666666,20.080221323597048
198.3333333333333,17.15559611950216
200,9.307408389697695
201.66666666666666,8.543668037466354
203.33333333333337,12.703490210944441
205,16.86823778523568
206.66666666666674,25.903506352367863
208.3333333333334,34.93384951868692
210,45.34200682096957
211.66666666666666,58.79635831841159
213.33333333333331,70.87289567989018
215.00000000000006,83.95469523749986
216.66666666666666,82.68403880502198
218.33333333333331,80.40812017641305
220,76.71010397931668
221.66666666666663,60.05697264902747
223.33333333333331,44.82593888722573
225.00000000000003,28.614691031877776
226.66666666666666,11.724695909211324
228.33333333333331,-4.18508511990877
230.00000000000003,-18.580156458439614
231.313501043871,-22.637838836564285
232.62700208774194,-28.210230905278245
233.94050313161293,-36.767568670830684
236.85504775447993,-40.397669067100495
239.769592377347,-41.04282376653174
242.6841370002141,-41.238985591271685
245.77393895689283,-37.264149056779864
248.86374091357158,-33.73830539697941
251.95354287025026,-30.087394323563327
255.27066236338095,-26.771953541404677
258.5877818565116,-23.581580172861635
261.9049013496423,-20.43235310805698
265.17234398236053,-18.390251526780276
268.43978661507873,-16.307003641765203
271.70722924779693,-14.246023340521266
275.0251566508979,-12.904445798363252
278.34308405399884,-11.54060067243412
281.6610114570998,-10.197679064548431
284.92845408981805,-9.320287240049831
288.1958967225363,-8.421971897507788
291.46333935525456,-7.531651232432705
294.7812667583555,-6.921308537743107
298.09919416145647,-6.30297116558647
301.4171215645575,-5.694038912334085
304.6845641972756,-5.271562396364779
307.9520068299938,-4.839680761491277
311.2194494627121,-4.4093994668519265
314.53737686581303,-4.094902355580523
317.855304268914,-3.7788049040749487
321.173231672015,-3.465761933510782
324.4406743047332,-3.235648209080951
327.70811693745145,-3.0024800037097217
330.97555957016965,-2.7699012271870624
334.29348697327066,-2.591859233925761
337.6114143763716,-2.413227811815883
340.9293417794725,-2.236036544131204
344.19678441219077,-2.1011635940033444
347.46422704490897,-1.9648504894502588
350.7316696776272,-1.8289789993544137
354.0495970807282,-1.7206560430981446
357.3675244838291,-1.611891472384649
360.68545188693014,-1.503762818495992
363.95289451964834,-1.4190811936295473
367.22033715236654,-1.333763651938261
370.48777978508485,-1.2486683138834298
373.8057071881858,-1.1791918977769278
377.1236345912867,-1.109493278033987
380.44156199438777,-1.0400885747652164
383.70900462710586,-0.9844356259563862
386.9764472598242,-0.9284887606733505
390.2438898925424,-0.8727013423697866
393.5618172956433,-0.8260599811883242
396.87974469874433,-0.7792591730273901
400.1976721018452,-0.7327954663719298
401.8313934182044,-0.7136045808877854
403.46511473456354,-0.694076593898159
405.09883605092256,-0.6745207811251451
406.73255736728174,-0.6559235539014595
408.36627868364087,-0.6373608445670595
410,-0.6187981352326569
